Designator,Mid X,Mid Y,Rotation,Layer
C1,133.731,-62.0268,270.0,top
C2,144.4244,-65.86315,90.0,top
C3,131.1084,-67.752,90.0,top
C4,133.223,-67.752,90.0,top
C5,135.3376,-67.752,90.0,top
C6,144.4244,-69.30705,90.0,top
L1,138.6078,-62.357,180.0,top
R1,142.6972,-65.98825,90.0,top
R2,142.6972,-69.44455,90.0,top
R3,137.6426,-71.1708,0.0,top
U1,139.319,-67.6656,0.0,top
