Designator,Mid X,Mid Y,Rotation,Layer
C1,133.731,-62.103,270.0,top
C2,144.018,-65.024,90.0,top
C3,131.1084,-67.752,90.0,top
C4,133.223,-67.752,90.0,top
C5,135.3376,-67.752,90.0,top
C6,144.145,-69.30705,90.0,top
D1,145.923,-64.135,270.0,top
L1,137.8712,-62.357,270.0,top
R1,142.494,-65.151,90.0,top
R2,142.494,-69.44455,90.0,top
R3,138.8315,-71.501,180.0,top
R4,145.923,-67.691,90.0,top
U1,139.319,-67.6656,0.0,top
