Designator,Mid X,Mid Y,Rotation,Layer
BT1,187.5282,-80.6958,180.0,top
BT2,187.5282,-101.6,180.0,top
J2,210.884,-126.195,180.0,top
J3,179.5752,-63.5332,270.0,bottom
J4,187.5915,-83.9978,180.0,top
SW1,226.2378,-65.3288,180.0,top
