Designator,Mid X,Mid Y,Rotation,Layer
C1,22.6057,56.5142,180.0,bottom
J1,17.25,53.4499,270.0,top
JP1,17.193,67.5657,0.0,top
R1,12.0368,57.1346,270.0,bottom
R2,9.8752,57.0766,270.0,bottom
R3,23.3059,59.7651,90.0,bottom
R4,25.4064,59.7651,90.0,bottom
R5,17.1544,63.516,180.0,bottom
SJ1,12.053,60.0273,90.0,bottom
SJ2,9.8752,60.0273,90.0,bottom
U1,17.7506,58.8496,90.0,bottom
